title,director,cast,country,date_added,release_year,listed_in,description,platform
duck the halls,"['alonso ramirez ramos', ' dave wasson']","['chris diamantopoulos', ' tony anselmo', ' tress macneille', ' bill farmer', ' russi taylor', ' corey burton']",[],"november 26, 2021",2016,"['animation', ' family']",join mickey and the gang as they duck the halls!,disney_plus
ernest saves christmas,['john cherry'],"['jim varney', ' noelle parker', ' douglas seale']",[],"november 26, 2021",1988,['comedy'],santa claus passes his magic bag to a new st. nic.,disney_plus
ice age,['karen disher'],"['raymond albert romano', ' john leguizamo', ' denis leary', ' queen latifah']",['united states'],"november 26, 2021",2011,"['animation', ' comedy', ' family']",sid the sloth is on santa's naughty list.,disney_plus
the queen family singalong,['hamish hamilton'],"['darren criss', ' adam lambert', ' derek hough', ' alexander jean', ' fall out boy', ' jimmie allen']",[],"november 26, 2021",2021,['musical'],"this is real life, not just fantasy!",disney_plus
the beatles,[],"['john lennon', ' paul mccartney', ' george harrison', ' ringo starr']",[],"november 25, 2021",2021,"['docuseries', ' historical', ' music']",a three-part documentary from peter jackson capturing a moment in music history with the beatles.,disney_plus
becoming cousteau,['liz garbus'],"['jacques yves cousteau', ' vincent cassel']",['united states'],"november 24, 2021",2021,"['biographical', ' documentary']",an inside look at the legendary life of adventurer jacques-yves cousteau.,disney_plus
hawkeye,[],"['jeremy renner', ' hailee steinfeld', ' vera farmiga', ' fra fee', ' tony dalton', ' zahn mcclarnon']",[],"november 24, 2021",2021,"['action-adventure', ' superhero']",clint barton/hawkeye must team up with skilled archer kate bishop to unravel a criminal conspiracy.,disney_plus
port protection alaska,[],"['gary muehlberger', ' mary miller', ' curly leach', ' sam carlson', ' stuart andrews', ' david squibb']",['united states'],"november 24, 2021",2015,"['docuseries', ' reality', ' survival']",residents of port protection must combat volatile conditions to survive and thrive in alaska.,disney_plus
secrets of the zoo,[],"['dr. ray ball', ' dr. lauren smith', ' chris massaro', ' tiffany burns', ' mike burns', ' melinda mendolusky']",['united states'],"november 24, 2021",2019,"['animals & nature', ' docuseries', ' family']",a day in the life at zootampa is anything but ordinary. it's extraordinary!,disney_plus
a muppets christmas,['kirk r. thatcher'],"['steve whitmire', ' dave goelz', ' bill barretta', ' eric jacobson']",['united states'],"november 19, 2021",2008,"['comedy', ' family', ' musical']",celebrate the holiday season with all your favorite muppets.,disney_plus
adventure thru the walt disney archives,['john gleim'],"['don hahn', ' kathryn beaumont', ' pete docter', ' kevin feige', ' mark hamill', ' bob iger']",[],"november 19, 2021",2020,['documentary'],explore the treasures and rich history of the walt disney archives.,disney_plus
puppy for hanukkah,[],[],[],"november 19, 2021",2020,"['comedy', ' family', ' music']","check out daveed digg's official music video ""puppy for hanukkah!""",disney_plus
the pixar story,['leslie iwerks'],"['stacy keach', ' john lasseter', ' brad bird', ' john musker', ' ron clements', ' frank thomas']",['united states'],"november 19, 2021",2007,"['documentary', ' family']",a groundbreaking company forever changes the face of filmmaking.,disney_plus
"dr. oakley, yukon vet",[],"['dr. michelle oakley', ' zachary fine']",['united states'],"november 17, 2021",2013,"['action-adventure', ' animals & nature', ' docuseries']","meet dr. michelle oakley, vet to pretty much everything that moves in the rugged yukon.",disney_plus
america the beautiful,[],['michael b. jordan'],[],"november 12, 2021",2021,['animals & nature'],"epic, grand portrait of the land across four regions on the most extreme continent. coming in 2022.",disney_plus
baymax!,[],[],[],"november 12, 2021",2021,['animation'],“baymax!” premieres on disney+ summer 2022.,disney_plus
